Course,Type,PreferenceRank,Location,max_cap
MATH 1850,Lecture,6,WENTW 206,25
MATH 1850,Lecture,7,WENTW 207,25
MATH 1850,Lecture,8,WENTW 310,25
MATH 1850,Lecture,9,WILLS 102,25
MATH 1875,Lab,1,BEATT 421,25
MATH 1875,Lab,2,ANXCN 203,25
MATH 1875,Lab,3,ANXCN 306,25
MATH 1875,Lecture,1,BEATT 421,25
MATH 1875,Lecture,2,ANXCN 203,25
MATH 1875,Lecture,3,WATSN 006,25
MATH 1900,Lecture,1,WATSN 002,25
MATH 2025,Lecture,1,WENTW 310,25
MATH 2025,Lecture,2,WENTW 314,25
MATH 2025,Lecture,3,BEATT 403,26
MATH 2025,Lecture,4,RBSTN 104,25
MATH 2025,Lecture,5,WATSN 001,25
MATH 2025,Lecture,6,WENTW 214,25
MATH 2100,Lecture,1,WENTW 212,26
MATH 2100,Lecture,2,WENTW 210,25
MATH 2100,Lecture,3,WATSN 002,27
MATH 2100,Lecture,4,WATSN 006,26
MATH 2200,Lecture,1,WENTW 207,25
MATH 2200,Lecture,2,WENTW 312,25
MATH 2300,Lecture,1,WENTW 210,25
MATH 2300,Lecture,2,ANXCN 306,25
MATH 2300,Lecture,3,BEATT 420,25
MATH 2300,Lecture,4,WATSN 006,25
MATH 2500,Lecture,1,WILLS 102,26
MATH 2500,Lecture,2,BEATT 403,25
MATH 2500,Lecture,3,DOBBS 310,25
MATH 2500,Lecture,4,KNGMN 201,25
MATH 2500,Lecture,5,WATSN 006,25
MATH 2500,Lecture,6,WENTW 314,25
MATH 2800,Lecture,1,WENTW 210,25
MATH 2800,Lecture,2,WENTW 314,25
MATH 2860,Lecture,1,WENTW 206,27
MATH 2860,Lecture,2,WENTW 207,25
MATH 3950,Lecture,1,WENTW 206,25
MATH 4050,Lecture,1,WENTW 207,25
MATH 4100,Lecture,1,RBSTN 201,25
MATH 4400,Lecture,1,ANXCN 210,25
